tenure,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,Contract,InternetService,PaymentMethod,PaperlessBilling,Churn
21,18.291171783378875,429.103567617272,0,0,0,One year,DSL,Bank transfer (automatic),1,0
59,18.941985597244532,1032.7744082614493,1,1,0,Two year,No,Mailed check,1,0
63,98.8792973192694,6331.068685037584,0,0,1,Month-to-month,Fiber optic,Electronic check,1,0
71,43.939973880185384,3144.0331463923903,0,1,0,One year,DSL,Credit card (automatic),0,0
10,81.61336677280656,796.1206012373527,1,1,0,Month-to-month,No,Electronic check,0,1
13,63.42144197652475,905.8813911122611,1,1,1,Month-to-month,Fiber optic,Mailed check,0,1
59,104.34300145217672,6161.413788213613,0,0,0,Two year,DSL,Credit card (automatic),0,0
29,109.69611131024887,3187.68215487703,1,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
34,117.6807712678854,3990.411058973772,0,1,0,One year,Fiber optic,Electronic check,1,0
36,33.368413580724685,1274.6475720994663,0,1,0,Month-to-month,Fiber optic,Mailed check,1,0
4,104.29640464754755,416.71806963179563,0,1,0,Month-to-month,DSL,Bank transfer (automatic),1,0
25,44.602137672880176,1087.1326435289643,0,0,0,One year,No,Electronic check,0,0
61,77.08158748955077,4751.91548530559,0,1,0,Month-to-month,No,Mailed check,1,0
3,68.5772833869211,264.8796189485316,0,1,1,Month-to-month,DSL,Bank transfer (automatic),1,1
41,19.798813157238765,892.0817551303965,0,0,0,One year,DSL,Bank transfer (automatic),1,0
17,111.27712799060947,1923.3911279428426,0,1,1,Month-to-month,DSL,Credit card (automatic),1,1
39,25.832705514921845,1064.7888398441094,1,0,1,Month-to-month,No,Bank transfer (automatic),1,0
71,86.82189194077358,6151.39166816501,0,1,0,One year,No,Mailed check,1,0
38,96.50068362082621,3718.3159485888114,0,1,1,Month-to-month,Fiber optic,Mailed check,1,1
13,97.52878490476843,1305.000334058683,0,1,0,One year,No,Bank transfer (automatic),1,0
31,31.549451892884477,1004.5560221265517,0,0,0,Two year,Fiber optic,Bank transfer (automatic),1,0
50,62.75699505079721,3059.993514501509,0,0,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
37,100.94288704339799,3715.478121928522,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),0,0
22,48.26792103787547,1059.6085124992674,0,1,0,One year,DSL,Bank transfer (automatic),0,0
62,64.77486753746635,4042.621588684675,1,1,0,Month-to-month,DSL,Credit card (automatic),1,0
14,45.27938926998458,753.948305216007,0,1,0,One year,Fiber optic,Bank transfer (automatic),1,0
24,64.35514178853242,1587.4855987423825,0,1,0,Month-to-month,DSL,Credit card (automatic),1,0
16,106.783792259288,1668.04000811004,1,0,0,Month-to-month,DSL,Bank transfer (automatic),1,0
65,63.512423103276944,4104.295325720545,0,1,0,Month-to-month,DSL,Credit card (automatic),0,1
52,73.59120170743203,3896.2356739039988,0,1,0,One year,Fiber optic,Electronic check,0,0
50,58.39762833030836,2893.6704058095247,0,0,0,Month-to-month,No,Bank transfer (automatic),1,0
38,64.01171832033255,2483.3805210487044,0,1,0,Two year,No,Credit card (automatic),1,0
50,19.51741990464217,981.7320997438924,0,0,0,One year,Fiber optic,Credit card (automatic),1,0
69,46.3745509960456,3191.524571753825,0,1,0,Month-to-month,No,Mailed check,1,0
5,61.65817217418244,282.83759137301627,0,0,0,Month-to-month,Fiber optic,Mailed check,1,0
66,81.37969759927289,5218.738815505387,1,1,1,Month-to-month,DSL,Mailed check,0,1
6,63.00519305538921,405.0187145423754,0,0,0,One year,Fiber optic,Mailed check,0,1
50,51.7817043321564,2536.4787284573167,0,0,0,Two year,DSL,Electronic check,1,0
71,56.809873534415715,3962.5826409552737,0,1,1,Month-to-month,Fiber optic,Credit card (automatic),1,0
41,42.22933292004665,1743.7913848162052,0,1,0,Month-to-month,DSL,Electronic check,1,0
63,110.44942827740529,7009.791125374422,0,0,0,Month-to-month,Fiber optic,Mailed check,0,0
14,70.17432257909147,897.6001117026442,1,0,0,Month-to-month,DSL,Mailed check,1,0
28,19.34094538721231,591.7162462242961,0,1,0,Month-to-month,DSL,Mailed check,0,0
32,19.94462584195466,593.0677307861308,0,0,0,Month-to-month,No,Mailed check,0,0
26,115.29616349520415,3030.1468036769543,1,1,1,Month-to-month,DSL,Mailed check,1,1
35,40.145089137324504,1434.0255800014493,0,1,0,Month-to-month,Fiber optic,Electronic check,1,0
28,98.56082888143146,2749.371036257651,0,1,0,Month-to-month,DSL,Electronic check,0,1
37,23.82753015605745,883.1122625022005,1,1,1,Month-to-month,DSL,Credit card (automatic),1,1
56,110.11627366945491,6146.701309315588,0,1,0,Month-to-month,Fiber optic,Electronic check,1,0
26,105.44170036666785,2754.6610723797385,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,1
54,75.10931624345147,4068.6383817971437,0,0,0,Month-to-month,DSL,Mailed check,1,1
32,18.899865728325576,558.6014431073834,0,1,0,Month-to-month,No,Credit card (automatic),0,1
67,43.78108740233375,2865.4412597993537,0,0,1,Month-to-month,Fiber optic,Mailed check,1,0
65,58.682264739846495,3864.7649172495467,0,1,0,Month-to-month,DSL,Bank transfer (automatic),1,0
9,64.00641167475618,586.2582391055306,1,1,1,Month-to-month,DSL,Mailed check,1,1
4,47.767875856237204,234.56331757407813,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
37,21.294786824552997,754.3869235262625,1,0,1,Month-to-month,Fiber optic,Bank transfer (automatic),0,1
12,77.01274059265421,882.9309652221118,0,1,0,Month-to-month,DSL,Credit card (automatic),0,0
30,70.41546676947559,2061.872156690775,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
46,46.30006354290777,2120.7650440752464,0,1,0,Month-to-month,DSL,Bank transfer (automatic),1,0
51,21.79759675696065,1123.2997489843885,0,1,1,One year,DSL,Mailed check,1,0
55,117.45941872219402,6433.076786360299,0,0,0,Month-to-month,DSL,Credit card (automatic),1,1
14,66.19861868264059,1005.021890673555,0,0,0,Month-to-month,No,Credit card (automatic),0,0
28,93.60042417740772,2588.7044873233817,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
7,63.23140350513355,455.0596313098941,0,1,0,Month-to-month,No,Mailed check,1,1
4,22.317029086294145,45.11596189533246,1,0,0,Month-to-month,DSL,Credit card (automatic),1,0
28,48.96007450855001,1337.2260863648512,1,1,0,Month-to-month,DSL,Bank transfer (automatic),1,0
46,50.01101410059012,2296.1897691097497,0,0,0,Month-to-month,DSL,Electronic check,0,1
67,101.8352904049016,6781.332654091576,0,0,1,Two year,Fiber optic,Mailed check,0,0
44,83.42299779998744,3675.082675602424,0,0,0,Month-to-month,DSL,Bank transfer (automatic),1,0
1,45.54299036394728,67.55553604506738,0,0,0,Two year,DSL,Credit card (automatic),1,0
26,114.7739954659086,3038.792603565133,0,0,0,Two year,DSL,Bank transfer (automatic),1,0
35,50.15418323978714,1701.4012662479631,0,0,0,Two year,No,Bank transfer (automatic),1,0
35,117.82340258287203,4132.211205679637,0,0,1,Two year,Fiber optic,Electronic check,1,0
25,117.61636931702633,2937.3118266510774,0,1,0,Month-to-month,DSL,Mailed check,1,1
42,37.12105177467418,1466.6751115633529,0,0,0,Month-to-month,Fiber optic,Electronic check,0,1
26,49.27411161884002,1224.6875472601116,0,1,0,Month-to-month,Fiber optic,Electronic check,0,1
68,66.60441984846543,4552.847913989916,1,1,0,Month-to-month,DSL,Electronic check,0,1
19,84.4100671147891,1536.1584344817604,1,1,0,Month-to-month,DSL,Mailed check,1,1
10,70.80474490037993,704.3764249693941,0,0,0,Two year,No,Electronic check,0,0
37,114.94414691322568,4146.8113109480855,0,0,0,Month-to-month,DSL,Credit card (automatic),1,1
5,90.39891642356915,446.8469637214803,0,0,0,Month-to-month,No,Mailed check,1,1
71,39.20448493829744,2680.8429850581483,0,1,0,One year,DSL,Credit card (automatic),1,0
22,28.50975502136383,596.9856833346906,0,1,0,Month-to-month,Fiber optic,Mailed check,0,0
46,86.84012907093567,3972.759001173917,0,1,0,Month-to-month,DSL,Credit card (automatic),1,0
45,33.8452440180763,1529.1872589398413,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
11,96.76768403357542,1051.8169683738372,0,0,1,Two year,No,Electronic check,0,0
12,49.103666726033694,527.4489734144572,0,1,1,Month-to-month,Fiber optic,Credit card (automatic),1,0
61,50.68932630556065,3031.1881550824255,0,0,1,One year,DSL,Credit card (automatic),0,0
59,19.079839238951198,1045.00508498482,0,1,0,Month-to-month,DSL,Electronic check,1,0
42,88.10112670950407,3710.5715970203437,0,0,0,Two year,No,Electronic check,1,0
67,29.32697530646858,1973.0250054465066,0,1,0,Month-to-month,Fiber optic,Mailed check,1,0
4,95.28805774635181,414.62264172459805,0,0,0,One year,DSL,Mailed check,1,0
36,67.18678219172068,2393.717076250113,0,1,1,Two year,No,Credit card (automatic),1,0
71,96.4279814954569,6759.669516741221,0,0,0,Month-to-month,Fiber optic,Mailed check,1,0
30,76.39265391977412,2275.979652880137,0,0,0,Month-to-month,DSL,Electronic check,0,0
8,26.243327201899078,210.49896723713715,0,0,0,Month-to-month,Fiber optic,Mailed check,1,0
50,94.56523367051831,4670.02423390923,0,1,0,Month-to-month,Fiber optic,Mailed check,0,0
28,24.979948489474975,645.9465728995251,1,0,0,Two year,No,Mailed check,1,0
39,65.87017205693323,2591.4828645082753,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
40,35.23492141449633,1414.4279338903623,1,0,1,Two year,No,Mailed check,1,0
10,93.2335177977885,988.9786491638872,0,0,0,One year,No,Credit card (automatic),1,0
22,109.15912278061266,2487.605741598246,0,0,0,Month-to-month,Fiber optic,Electronic check,1,0
0,73.41261633582742,0.0,0,1,0,Month-to-month,DSL,Mailed check,0,0
45,70.71472942991805,3161.219441565887,0,0,0,Month-to-month,No,Credit card (automatic),0,0
20,94.3963196325618,1894.108116002254,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,0
35,18.50788129757272,665.9545153765082,0,0,0,Month-to-month,No,Mailed check,1,0
53,109.77586426351607,5868.914865177138,1,1,0,Month-to-month,DSL,Mailed check,0,0
56,37.74488170911317,2150.1446239286483,1,1,0,Two year,No,Bank transfer (automatic),1,0
0,116.41188838262373,56.921505828081884,0,1,0,Month-to-month,No,Credit card (automatic),1,0
62,91.62539479604622,5683.842487672399,0,1,0,Month-to-month,No,Credit card (automatic),1,0
53,95.42511477006711,5026.105895467682,0,1,1,Month-to-month,DSL,Credit card (automatic),0,1
54,83.62029803736066,4612.993919986842,0,1,0,One year,Fiber optic,Credit card (automatic),0,0
39,65.16631827851603,2549.152671825238,1,0,0,One year,DSL,Electronic check,1,0
14,75.16276933611655,1040.1863962054583,0,0,1,Month-to-month,DSL,Credit card (automatic),1,0
20,22.640288601512566,399.19480627149954,0,0,0,Two year,DSL,Bank transfer (automatic),0,0
46,80.39595094320143,3706.1871641091484,1,0,0,Two year,No,Credit card (automatic),1,0
52,80.60981019870468,4241.934631651135,0,1,0,One year,Fiber optic,Mailed check,1,0
8,107.12007974018094,831.9373681654777,1,1,1,Two year,DSL,Mailed check,1,0
51,68.56563574302194,3490.1784454741587,0,1,1,One year,No,Mailed check,1,0
56,25.714437408606102,1452.4663169591145,1,0,0,Two year,Fiber optic,Mailed check,1,0
25,48.61959204820812,1239.0985396833235,0,0,0,Month-to-month,No,Electronic check,1,0
40,83.56294121143175,3329.5258926522515,0,1,0,Month-to-month,No,Mailed check,0,0
34,41.92588627514639,1405.799673429439,0,0,1,Two year,Fiber optic,Mailed check,0,0
62,46.052782185540096,2829.7343945304046,0,1,0,Month-to-month,DSL,Bank transfer (automatic),1,0
24,100.04690163608535,2345.795819727719,1,1,1,Month-to-month,No,Electronic check,0,1
37,76.4319731762709,2789.4741056549983,0,0,0,Month-to-month,DSL,Credit card (automatic),0,0
1,68.85274317735725,28.999405250384598,1,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,1
6,49.845196680580436,221.9623258613412,1,0,0,Month-to-month,No,Mailed check,1,1
33,91.09280359330333,3055.7097520669145,0,0,1,One year,DSL,Mailed check,1,0
16,46.77184344900293,766.3278820984546,0,0,0,Two year,Fiber optic,Mailed check,1,0
42,91.70635176441752,3858.7781299384956,0,0,0,Month-to-month,Fiber optic,Electronic check,1,0
58,25.0101480267442,1515.8159847918585,0,1,0,One year,DSL,Mailed check,1,0
50,104.45413415820836,5258.599077042355,0,1,0,Month-to-month,DSL,Bank transfer (automatic),1,1
53,67.95664633759327,3562.2214730630726,0,1,1,Month-to-month,No,Bank transfer (automatic),1,0
23,61.850801669897,1481.2379914734663,0,1,0,One year,DSL,Electronic check,1,0
24,79.10234115419246,1947.0692635746134,0,0,0,Two year,No,Mailed check,1,0
70,80.41920728962705,5573.448427095048,0,0,0,Month-to-month,Fiber optic,Mailed check,0,1
51,31.203517688999554,1636.5184555690348,1,1,0,Month-to-month,Fiber optic,Mailed check,1,0
69,93.62335898162132,6436.64929112691,0,0,1,Month-to-month,No,Electronic check,0,1
32,45.592829795006296,1508.8279653873751,0,0,0,Two year,Fiber optic,Electronic check,1,0
48,108.4961880169914,5190.91968646214,0,1,1,Month-to-month,Fiber optic,Mailed check,1,0
28,99.78506634148324,2767.315221425758,0,1,0,Month-to-month,DSL,Bank transfer (automatic),1,1
62,52.62660415347485,3241.3357514309673,0,0,0,Two year,Fiber optic,Electronic check,1,1
21,98.77392932007145,2025.6441054140487,0,1,0,One year,Fiber optic,Electronic check,1,0
25,53.63904992999042,1266.9584343496158,0,0,1,Two year,DSL,Bank transfer (automatic),1,0
27,28.094768163604062,633.6088674249291,0,0,0,Two year,Fiber optic,Bank transfer (automatic),1,0
48,114.1888238725708,5428.329895883436,0,1,0,Month-to-month,Fiber optic,Mailed check,0,0
70,83.260201521544,5959.745270519113,0,1,1,One year,No,Mailed check,1,0
48,63.60995266625917,3077.1907724168163,0,1,1,Month-to-month,Fiber optic,Mailed check,1,1
19,57.77733515310396,1190.9804983485956,0,0,0,Two year,No,Mailed check,1,0
62,50.470533425826396,3113.2630428469165,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),0,1
60,116.14475954291294,6945.269496700953,1,1,0,One year,No,Electronic check,1,0
48,31.47472651309074,1596.6139055043982,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
70,49.48050589205683,3482.4235338615194,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),0,1
0,66.54976402826635,0.0,0,0,1,Month-to-month,Fiber optic,Credit card (automatic),1,1
12,65.79995450543115,821.245328290109,1,1,0,One year,Fiber optic,Credit card (automatic),0,1
50,65.13664844078434,3319.376652969874,0,0,0,Month-to-month,No,Mailed check,1,0
55,35.57838158303818,1885.4173654091699,0,1,1,Month-to-month,DSL,Bank transfer (automatic),0,1
61,32.49325271095006,2005.321331958488,0,1,0,Month-to-month,DSL,Mailed check,1,0
31,43.47675863286201,1279.6932787899405,0,1,0,Month-to-month,No,Bank transfer (automatic),0,1
29,109.4526153802056,3233.96361224141,0,0,1,Month-to-month,Fiber optic,Mailed check,1,0
28,29.305296783451013,832.0832315327052,0,1,1,Month-to-month,DSL,Bank transfer (automatic),1,0
48,93.74251033733248,4531.123554135769,0,1,0,Month-to-month,Fiber optic,Mailed check,1,0
44,93.75483931333713,4114.340733017835,0,1,0,Month-to-month,Fiber optic,Electronic check,1,0
29,98.97704038972623,2781.2540498408944,0,0,0,One year,Fiber optic,Mailed check,0,0
15,106.66154889893555,1577.8516254726158,0,1,0,One year,No,Bank transfer (automatic),0,1
39,44.30361775389303,1774.3330686004501,0,1,0,Two year,Fiber optic,Credit card (automatic),1,0
18,40.45594692688964,827.8884838099393,0,0,0,Month-to-month,Fiber optic,Mailed check,1,0
17,64.55056665274797,1111.4741375911492,0,0,1,Two year,No,Electronic check,1,0
0,44.50891687520361,0.0,0,0,1,Month-to-month,No,Electronic check,0,0
46,91.43099889831075,4232.611088235665,0,0,1,Month-to-month,DSL,Mailed check,1,0
65,81.59395767414335,5345.60198553361,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),1,0
37,105.49876880526514,3910.092132698564,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
50,26.273830348707158,1317.2522278019637,0,0,1,Month-to-month,No,Bank transfer (automatic),0,1
62,109.50833333580748,6800.19707973608,0,0,1,One year,No,Bank transfer (automatic),1,0
3,47.334862667008956,144.18210687262672,0,0,1,Month-to-month,Fiber optic,Credit card (automatic),0,0
0,67.0694345926984,14.88904815853237,0,0,1,One year,No,Bank transfer (automatic),0,0
7,61.86114359396437,524.4061677614459,1,1,1,One year,Fiber optic,Credit card (automatic),0,1
28,94.03116511044239,2531.2074698121346,0,0,0,Month-to-month,No,Electronic check,0,1
54,60.033330943184254,3229.8770862110055,0,0,0,Month-to-month,No,Electronic check,0,0
2,112.35531456494094,178.09292278866576,0,1,0,Month-to-month,No,Mailed check,0,0
31,108.25338826385754,3414.8951892078953,0,1,0,Month-to-month,No,Credit card (automatic),1,0
9,105.21611519695065,939.9009282898369,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
33,25.125833264822788,857.137736515851,1,0,1,Month-to-month,DSL,Mailed check,1,1
54,103.42580615539394,5656.358871282567,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),0,0
31,96.16354454432106,2927.0194005933026,0,1,1,Month-to-month,No,Credit card (automatic),0,0
49,28.351294700613103,1362.8375584358846,0,1,0,Month-to-month,No,Electronic check,0,0
6,28.74143254362219,238.65271375566292,0,1,0,Two year,DSL,Mailed check,1,0
7,28.11638115175412,140.76152899525692,1,0,1,Two year,DSL,Mailed check,1,0
64,19.133259320448754,1199.839578984602,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,1
56,72.86343051945835,4000.334334107547,0,1,0,Month-to-month,Fiber optic,Electronic check,1,0
66,115.33942914360433,7680.570490981564,0,1,0,Month-to-month,DSL,Credit card (automatic),1,1
58,61.868470289979356,3559.308948639764,0,1,1,Month-to-month,No,Electronic check,0,0
71,72.07575018873564,5134.936286752586,0,0,1,Month-to-month,DSL,Credit card (automatic),0,0
53,114.79697967699555,6118.038939092962,0,1,1,Month-to-month,Fiber optic,Mailed check,1,1
66,43.51822287742307,2832.040866389118,0,1,1,Month-to-month,DSL,Electronic check,1,0
50,103.8470252598263,5097.151258906472,0,1,1,Two year,No,Bank transfer (automatic),0,0
7,72.63904672117361,497.5001221809771,0,0,0,Two year,Fiber optic,Credit card (automatic),0,0
33,74.94765146630107,2461.481110225649,0,1,0,Two year,Fiber optic,Mailed check,0,1
34,52.31738572072835,1775.765940574895,0,0,0,Month-to-month,Fiber optic,Electronic check,1,0
31,74.15843609669082,2296.1623693826973,0,0,0,Two year,DSL,Bank transfer (automatic),0,0
45,25.31425094782839,1114.2026505356187,0,0,1,Month-to-month,No,Electronic check,0,0
15,94.46435726141122,1390.0884938288025,0,1,0,One year,No,Credit card (automatic),1,0
67,46.46877615442717,3128.2931787873595,0,0,0,Two year,No,Bank transfer (automatic),1,0
36,106.76083294939549,3802.197116676754,0,1,0,Two year,DSL,Credit card (automatic),1,0
53,54.785069460745845,2898.8425090150135,1,0,0,One year,DSL,Mailed check,1,0
13,32.28241104868826,391.5234070624737,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,1
54,87.58815743684849,4744.540763771981,0,0,0,Month-to-month,DSL,Electronic check,0,1
47,34.45781447135029,1674.9460941693771,0,1,1,One year,No,Mailed check,0,0
6,93.36805155429904,617.6771979817453,1,1,0,Two year,Fiber optic,Electronic check,0,0
6,114.81122364061166,753.3318854705536,0,1,1,One year,DSL,Mailed check,0,0
32,95.95528687952617,3053.8645413777317,0,1,0,Month-to-month,DSL,Electronic check,1,1
22,20.244924843132466,432.8859969573562,0,0,0,Month-to-month,No,Credit card (automatic),1,0
18,77.98857880527747,1340.3468028220852,1,0,0,Month-to-month,No,Credit card (automatic),1,1
18,87.54106709697243,1558.6117563538908,0,0,0,Two year,DSL,Mailed check,1,0
35,100.54583257962852,3503.762249089605,0,0,0,Month-to-month,DSL,Mailed check,1,1
28,23.600230893900015,629.9490832482281,0,0,0,One year,Fiber optic,Bank transfer (automatic),0,0
59,66.01078279522864,3863.5465277473527,1,1,0,Two year,DSL,Mailed check,0,0
1,71.53708726383942,0.0,0,0,1,Month-to-month,No,Mailed check,1,0
0,34.91248626441781,0.0,0,1,0,Two year,Fiber optic,Bank transfer (automatic),0,0
46,50.24498097106496,2313.4963040479256,0,1,0,Two year,No,Mailed check,1,0
68,62.02217262561652,4221.61140385591,0,1,0,Month-to-month,No,Electronic check,1,0
19,101.32096879578015,1949.2512005946128,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),0,1
10,110.94075660702069,1096.4628425593244,0,1,0,One year,Fiber optic,Bank transfer (automatic),1,0
1,80.8422828917673,81.42499478339215,1,1,1,Month-to-month,No,Bank transfer (automatic),1,1
66,57.494518602146215,3857.16370519489,0,1,0,Month-to-month,Fiber optic,Mailed check,0,1
11,43.40310177989859,474.7890783890597,1,1,1,One year,DSL,Credit card (automatic),1,0
19,116.21351844361504,2176.453393071647,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,0
4,116.30199980763584,405.66060402765424,0,0,0,Month-to-month,Fiber optic,Electronic check,0,1
36,110.49769482350348,4017.7910068270467,0,0,1,Month-to-month,No,Mailed check,1,0
37,96.56691498778193,3487.808734378697,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),1,0
8,50.57795437456183,362.70270401208955,0,1,1,Month-to-month,DSL,Mailed check,0,0
52,99.70004834976307,5205.331480834503,0,0,0,One year,DSL,Mailed check,0,0
43,58.87930172711726,2436.482315423502,1,0,0,Month-to-month,No,Electronic check,0,0
23,50.677309815504515,1134.8603863625683,0,1,0,One year,No,Electronic check,0,0
29,92.48653584662796,2688.5679148669974,0,1,1,Month-to-month,Fiber optic,Electronic check,1,1
58,25.96539276204229,1486.8258974884234,0,0,0,Two year,DSL,Bank transfer (automatic),1,0
13,22.856272329566167,247.99709390794808,0,0,0,Month-to-month,DSL,Credit card (automatic),1,0
8,62.79536971811856,472.69074150091956,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
39,62.56388008221619,2480.840539539133,0,0,0,One year,No,Mailed check,1,0
65,107.5644153063835,7083.2558644538885,0,0,0,One year,No,Credit card (automatic),1,0
24,30.61530962878168,741.7418651704402,0,1,1,Month-to-month,No,Credit card (automatic),0,0
21,30.32839274524128,537.4819986576068,1,0,0,Month-to-month,Fiber optic,Mailed check,1,0
3,32.74526004749012,126.64089399800008,0,0,0,Month-to-month,No,Mailed check,1,0
25,20.97362612946026,504.5214775087233,1,1,1,Month-to-month,DSL,Bank transfer (automatic),1,1
57,25.17317378149084,1380.0997629330552,0,0,0,Month-to-month,DSL,Electronic check,1,1
28,83.9869866829039,2311.621974550051,0,1,0,Month-to-month,No,Electronic check,1,0
36,61.15843291175092,2163.814092431939,0,0,0,Two year,DSL,Mailed check,1,0
69,94.36030670880136,6440.318782768401,0,0,1,Two year,Fiber optic,Electronic check,0,0
17,117.25977185816602,1990.2626827335039,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
41,83.90346810990013,3531.4495324713967,0,0,0,Two year,DSL,Bank transfer (automatic),1,0
40,23.045557062012374,866.8627279303531,0,0,0,Month-to-month,DSL,Electronic check,0,0
37,28.45628647543415,1142.7499508489389,0,1,0,Month-to-month,DSL,Mailed check,0,0
33,106.10040848147078,3511.719313762343,0,1,0,One year,Fiber optic,Mailed check,1,0
16,70.74959445582616,1127.3486468704143,0,0,0,Month-to-month,DSL,Electronic check,1,1
36,100.483715939574,3601.315778071357,0,0,0,Month-to-month,Fiber optic,Mailed check,1,0
24,103.6612336224926,2447.562398566553,0,0,0,Month-to-month,Fiber optic,Mailed check,1,0
26,110.76745414995192,2894.5464379904756,0,1,0,Month-to-month,DSL,Credit card (automatic),0,0
56,112.98292054863657,6353.142503083438,0,0,0,Month-to-month,DSL,Bank transfer (automatic),0,1
30,73.48257965033062,2083.220243794491,0,0,0,One year,Fiber optic,Bank transfer (automatic),0,0
5,52.10201722560339,387.66200308639935,0,1,0,Month-to-month,DSL,Electronic check,1,0
39,114.18648743479986,4362.723691669722,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),0,1
11,72.74064060012253,774.0306064661086,0,1,0,Month-to-month,No,Credit card (automatic),0,1
52,24.425272295461106,1142.199766397656,0,1,0,Two year,DSL,Credit card (automatic),0,1
70,82.2776550059865,5746.040388000777,0,0,0,Month-to-month,No,Credit card (automatic),0,0
9,76.76847503950108,667.8430815626341,0,0,1,Month-to-month,Fiber optic,Mailed check,0,0
44,107.5792872894706,4707.9039723467395,0,0,0,One year,Fiber optic,Electronic check,1,1
16,83.31871891578125,1348.3161862471875,0,1,0,Month-to-month,No,Bank transfer (automatic),0,0
25,52.905242446155135,1310.4404750191918,0,0,1,Month-to-month,Fiber optic,Bank transfer (automatic),0,0
61,114.62257257058204,7018.897866780318,1,0,0,One year,DSL,Credit card (automatic),1,0
45,98.16194859820335,4355.421149608442,0,0,1,Month-to-month,DSL,Bank transfer (automatic),1,0
63,81.04176183813544,5109.500159644236,1,1,1,Month-to-month,No,Electronic check,1,0
1,47.292520340312294,15.708472832529889,0,0,0,Month-to-month,DSL,Bank transfer (automatic),0,0
53,55.354029631429555,2915.246598139105,0,0,1,Month-to-month,Fiber optic,Mailed check,0,0
64,84.99699240966567,5453.324946677629,0,1,0,Two year,Fiber optic,Credit card (automatic),1,0
50,25.198081846332173,1234.688805746064,0,0,0,Month-to-month,DSL,Bank transfer (automatic),0,0
52,43.66805916502635,2265.480789877511,0,1,0,Month-to-month,No,Electronic check,0,0
35,89.3900933396598,3070.9409963559237,0,1,0,Two year,Fiber optic,Bank transfer (automatic),1,0
25,66.0018509844621,1704.821886128848,0,0,0,Month-to-month,Fiber optic,Electronic check,0,1
28,58.23935648144301,1667.1241831301354,0,1,0,Month-to-month,Fiber optic,Mailed check,1,1
20,33.14576224004145,667.9144226415664,0,1,1,Month-to-month,DSL,Bank transfer (automatic),0,0
10,62.18490344777326,609.7160335364256,0,1,0,One year,Fiber optic,Credit card (automatic),0,0
39,95.06919707602339,3702.480105722602,0,0,0,One year,No,Electronic check,1,0
10,44.4012846071893,497.7140146976072,0,1,0,Month-to-month,Fiber optic,Mailed check,1,0
35,18.53985421836774,681.7751760747631,1,0,0,Two year,No,Credit card (automatic),1,1
58,84.85049011509828,4975.870643171672,1,0,0,Month-to-month,DSL,Mailed check,0,0
38,115.26266044325526,4362.886543197926,1,1,1,Month-to-month,No,Bank transfer (automatic),0,1
53,78.68265635885828,4194.350750992387,0,1,0,Month-to-month,Fiber optic,Mailed check,0,0
54,29.992185892713014,1679.01173731427,0,0,0,One year,No,Mailed check,1,0
23,50.07330923446731,1105.37882222807,0,1,0,One year,DSL,Electronic check,0,0
21,104.76416147202234,2150.5952478721406,1,0,0,One year,Fiber optic,Electronic check,1,0
68,41.25680742568286,2819.2231296829536,1,0,0,One year,No,Credit card (automatic),1,0
55,78.7695903497608,4270.580374572826,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),1,0
32,58.267120825399786,1773.756616427742,0,1,0,Month-to-month,DSL,Electronic check,0,0
35,38.7843721419649,1416.185311469199,1,1,0,Month-to-month,DSL,Bank transfer (automatic),0,1
19,99.34068935646796,1954.918024056175,0,1,1,Month-to-month,Fiber optic,Mailed check,0,1
61,92.28312764656903,5570.269808730052,0,1,1,Month-to-month,No,Bank transfer (automatic),0,1
25,84.15910659592654,2032.3783268441503,1,1,0,Two year,Fiber optic,Bank transfer (automatic),0,0
